"Year","Innings","Runs","Balls","Outs","Avg","SR","HS","50","100","4s","6s","Dot %"
"2008","5","159","239","5","31.8","66.52719665271967","54","1","0","21","1","71.54811715481172"
"2009","8","325","385","6","54.166666666666664","84.41558441558442","107","2","1","36","3","51.688311688311686"
"2010","23","995","1169","20","49.75","85.11548331907613","118","7","3","90","4","48.33190761334474"
"2011","34","1381","1614","29","47.62068965517241","85.5638166047088","117","8","4","127","7","46.84014869888476"
"2012","17","1026","1094","15","68.4","93.78427787934187","183","3","5","92","7","43.60146252285192"
"2013","30","1268","1300","24","52.833333333333336","97.53846153846153","115","7","4","138","20","48.07692307692308"
"2014","20","1054","1058","18","58.55555555555556","99.62192816635161","139","5","4","94","20","43.57277882797732"
"2015","20","623","773","17","36.64705882352941","80.59508408796896","138","1","2","44","8","49.02975420439845"
"2016","10","739","739","8","92.375","100","154","4","3","62","8","40.189445196211096"
"2017","26","1460","1473","19","76.84210526315789","99.11744738628649","131","7","6","136","22","42.8377460964019"
"2018","14","1202","1172","9","133.55555555555554","102.55972696245733","160","3","6","123","13","41.72354948805461"
"2019","25","1377","1429","23","59.869565217391305","96.36109167249825","123","7","5","133","8","41.77746675997201"
"2020","9","431","467","9","47.888888888888886","92.29122055674519","89","5","0","35","5","41.113490364025694"
"2021","3","129","149","3","43","86.57718120805369","66","2","0","10","1","41.61073825503356"
"2022","11","302","347","11","27.454545454545453","87.03170028818444","113","2","1","32","2","48.126801152737755"
"2023","24","1377","1389","19","72.47368421052632","99.13606911447084","166","8","6","122","24","42.04463642908567"
"2024","3","58","69","3","19.333333333333332","84.05797101449275","24","0","0","8","0","53.6231884057971"
"2025","13","651","677","10","65.1","96.15952732644018","135","4","3","54","13","43.27917282127031"
"2026","3","240","228","3","80","105.26315789473684","124","1","1","20","4","35.08771929824562"
